BiotoPi Daemon Logfile
2018-01-28 08:43:48 Starting BiotoPi Daemon
2018-01-28 08:43:48 tOpSeCr3tT0k3n! Running...
2018-01-28 08:43:49 tOpSeCr3tT0k3n! Running...
2018-01-28 08:43:50 tOpSeCr3tT0k3n! Running...
2018-01-28 08:43:51 tOpSeCr3tT0k3n! Running...
2018-01-28 08:43:52 tOpSeCr3tT0k3n! Running...
2018-01-28 08:43:53 tOpSeCr3tT0k3n! Running...
2018-01-28 08:43:54 tOpSeCr3tT0k3n! Running...
2018-01-28 08:43:55 tOpSeCr3tT0k3n! Running...
2018-01-28 08:43:56 tOpSeCr3tT0k3n! Running...
2018-01-28 08:43:57 tOpSeCr3tT0k3n! Running...
2018-01-28 08:43:58 tOpSeCr3tT0k3n! Running...
2018-01-28 08:43:59 tOpSeCr3tT0k3n! Running...
2018-01-28 08:44:00 tOpSeCr3tT0k3n! Running...
2018-01-28 08:44:01 tOpSeCr3tT0k3n! Running...
2018-01-28 08:44:02 tOpSeCr3tT0k3n! Running...
2018-01-28 08:44:03 tOpSeCr3tT0k3n! Running...
2018-01-28 08:44:04 tOpSeCr3tT0k3n! Running...
2018-01-28 08:44:05 tOpSeCr3tT0k3n! Running...
2018-01-28 08:44:06 tOpSeCr3tT0k3n! Running...
2018-01-28 08:44:07 tOpSeCr3tT0k3n! Running...
2018-01-28 08:44:08 tOpSeCr3tT0k3n! Running...
2018-01-28 08:44:08 Shutdown BiotoPi Daemon
2018-01-28 08:48:22 Starting BiotoPi Daemon ( . INITIALISER . )
2018-01-28 08:48:23 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:24 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:25 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:26 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:27 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:28 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:29 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:30 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:31 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:32 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:33 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:34 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:35 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:36 tOpSeCr3tT0k3n! Running...
2018-01-28 08:48:37 tOpSeCr3tT0k3n! Running...
